"","wave","Q288","Q252"
"737",3,4,3
"738",3,4,4
"739",3,2,2
"740",3,6,1
"741",3,2,3
"742",3,8,4
"743",3,3,3
"744",3,3,3
"745",3,7,3
"746",3,7,3
"747",3,5,2
"748",3,6,1
"749",3,NA,2
"750",3,NA,2
"751",3,9,2
"752",3,9,4
"753",3,8,3
"754",3,10,3
"755",3,7,3
"756",3,8,3
"757",3,5,3
"758",3,9,3
"759",3,10,4
"760",3,7,1
"761",3,7,2
"762",3,8,2
"763",3,3,4
"764",3,3,3
"765",3,9,NA
"766",3,10,4
"767",3,10,3
"768",3,5,2
"769",3,6,4
"770",3,5,2
"771",3,8,3
"772",3,NA,2
"773",3,7,2
"774",3,8,3
"775",3,NA,2
"776",3,6,4
"777",3,9,4
"778",3,10,3
"779",3,NA,1
"780",3,7,4
"781",3,9,3
"782",3,8,NA
"783",3,9,3
"784",3,8,4
"785",3,4,3
"786",3,6,3
"787",3,3,2
"788",3,5,3
"789",3,8,3
"790",3,4,3
"791",3,9,2
"792",3,9,2
"793",3,9,2
"794",3,9,2
"795",3,7,3
"796",3,3,3
"797",3,4,NA
"798",3,6,3
"799",3,7,4
"800",3,4,4
"801",3,4,2
"802",3,NA,3
"803",3,7,2
"804",3,7,2
"805",3,10,3
"806",3,NA,NA
"807",3,NA,2
"808",3,4,3
"809",3,9,2
"810",3,7,3
"811",3,NA,3
"812",3,NA,2
"813",3,10,NA
"814",3,7,3
"815",3,7,2
"816",3,7,4
"817",3,10,2
"818",3,8,4
"819",3,6,3
"820",3,NA,1
"821",3,8,3
"822",3,7,4
"823",3,3,2
"824",3,5,3
"825",3,7,3
"826",3,NA,2
"827",3,9,3
"828",3,9,3
"829",3,9,4
"830",3,8,3
"831",3,9,3
"832",3,8,3
"833",3,5,1
"834",3,9,3
"835",3,7,2
"836",3,2,2
"837",3,4,2
"838",3,6,2
"839",3,8,3
"840",3,7,4
"841",3,3,3
"842",3,1,1
"843",3,2,3
"844",3,7,3
"845",3,NA,2
"846",3,5,2
"847",3,NA,3
"848",3,5,1
"849",3,9,2
"850",3,6,2
"851",3,2,3
"852",3,NA,3
"853",3,10,2
"854",3,8,2
"855",3,NA,4
"856",3,4,2
"857",3,4,2
"858",3,3,3
"859",3,2,2
"860",3,4,3
"861",3,9,1
"862",3,6,3
"863",3,NA,3
"864",3,8,2
"865",3,9,2
"866",3,9,NA
"867",3,7,2
"868",3,5,2
"869",3,8,4
"870",3,10,3
"871",3,9,3
"872",3,8,2
"873",3,9,NA
"874",3,9,4
"875",3,10,3
"876",3,4,3
"877",3,NA,3
"878",3,NA,NA
"879",3,NA,NA
"880",3,NA,NA
"881",3,NA,NA
"882",3,5,3
"883",3,5,3
"884",3,5,3
"885",3,8,2
"886",3,3,2
"887",3,5,4
"888",3,3,2
"889",3,10,4
"890",3,10,4
"891",3,10,4
"892",3,9,4
"893",3,10,3
"894",3,NA,NA
"895",3,9,2
"896",3,8,4
"897",3,7,3
"898",3,9,4
"899",3,9,4
"900",3,10,2
"901",3,10,3
"902",3,1,4
"903",3,9,3
"904",3,8,3
"905",3,1,4
"906",3,2,3
"907",3,3,3
"908",3,7,3
"909",3,3,3
"910",3,6,3
"911",3,NA,NA
"912",3,4,2
"913",3,5,3
"914",3,3,3
"915",3,4,3
"916",3,9,3
"917",3,7,3
"918",3,7,2
"919",3,5,3
"920",3,5,NA
"921",3,5,3
"922",3,3,2
"923",3,7,3
"924",3,8,3
"925",3,3,3
"926",3,10,4
"927",3,8,3
"928",3,7,2
"929",3,3,1
"930",3,4,2
"931",3,8,3
"932",3,3,3
"933",3,NA,2
"934",3,4,NA
"935",3,7,3
"936",3,4,3
"937",3,10,3
"938",3,10,3
"939",3,NA,3
"940",3,NA,3
"941",3,4,2
"942",3,3,3
"943",3,8,3
"944",3,5,3
"945",3,5,3
"946",3,6,3
"947",3,8,4
"948",3,8,1
"949",3,8,3
"950",3,9,3
"951",3,8,2
"952",3,4,3
"953",3,4,3
"954",3,10,4
"955",3,NA,2
"956",3,4,3
"957",3,NA,3
"958",3,6,4
"959",3,7,1
"960",3,3,1
"961",3,7,3
"962",3,6,2
"963",3,7,2
"964",3,9,3
"965",3,10,2
"966",3,7,2
"967",3,9,3
"968",3,9,2
"969",3,6,3
"970",3,NA,3
"971",3,3,3
"972",3,7,2
"973",3,9,3
"974",3,9,4
"975",3,4,3
"976",3,3,4
"977",3,2,3
"978",3,5,3
"979",3,7,3
"980",3,5,2
"981",3,7,3
"982",3,10,1
"983",3,9,2
"984",3,7,1
"985",3,7,1
"986",3,NA,3
"987",3,10,4
"988",3,6,2
"989",3,NA,2
"990",3,4,1
"991",3,4,2
"992",3,9,3
"993",3,NA,2
"994",3,NA,2
"995",3,7,3
"996",3,10,3
"997",3,NA,2
"998",3,NA,2
"999",3,NA,2
"1000",3,NA,2
"1001",3,3,2
"1002",3,3,3
"1003",3,3,4
"1004",3,4,3
"1005",3,3,3
"1006",3,8,3
"1007",3,7,4
"1008",3,8,3
"1009",3,NA,2
"1010",3,NA,3
"1011",3,NA,3
"1012",3,8,NA
"1013",3,8,3
"1014",3,5,3
"1015",3,5,2
"1016",3,3,3
"1017",3,10,4
"1018",3,7,3
"1019",3,5,3
"1020",3,9,2
"1021",3,5,3
"1022",3,6,1
"1023",3,7,3
"1024",3,NA,3
"1025",3,7,2
"1026",3,8,3
"1027",3,9,3
"1028",3,6,3
"1029",3,3,2
"1030",3,9,4
"1031",3,5,3
"1032",3,5,3
"1033",3,3,3
"1034",3,3,3
"1035",3,3,3
"1036",3,4,3
"1037",3,7,4
"1038",3,NA,2
"1039",3,8,1
"1040",3,4,3
"1041",3,NA,NA
"1042",3,4,1
"1043",3,5,3
"1044",3,4,3
"1045",3,5,2
"1046",3,4,2
"1047",3,4,2
"1048",3,5,3
"1049",3,2,2
"1050",3,4,3
"1051",3,9,3
"1052",3,5,2
"1053",3,10,3
"1054",3,NA,3
"1055",3,10,3
"1056",3,4,2
"1057",3,3,1
"1058",3,2,3
"1059",3,3,2
"1060",3,7,3
"1061",3,1,3
"1062",3,10,3
"1063",3,9,3
"1064",3,9,3
"1065",3,9,3
"1066",3,9,2
"1067",3,9,NA
"1068",3,4,2
"1069",3,2,1
"1070",3,4,1
"1071",3,7,4
"1072",3,9,2
"1073",3,8,3
"1074",3,5,3
"1075",3,9,3
"1076",3,10,3
"1077",3,NA,NA
"1078",3,3,4
"1079",3,4,3
"1080",3,8,3
"1081",3,9,3
"1082",3,9,3
"1083",3,5,2
"1084",3,4,3
"1085",3,4,3
"1086",3,3,3
"1087",3,8,2
"1088",3,8,3
"1089",3,6,3
"1090",3,2,4
"1091",3,8,3
"1092",3,3,1
"1093",3,9,3
"1094",3,8,3
"1095",3,4,4
"1096",3,9,2
"1097",3,NA,3
"1098",3,3,NA
"1099",3,4,NA
"1100",3,2,NA
"1101",3,4,NA
"1102",3,10,4
"1103",3,9,3
"1104",3,8,2
"1105",3,8,3
"1106",3,8,3
"1107",3,4,3
"1108",3,8,3
"1109",3,9,3
"1110",3,7,2
"1111",3,9,3
"1112",3,10,2
"1113",3,3,2
"1114",3,7,2
"1115",3,2,2
"1116",3,9,3
"1117",3,2,2
"1118",3,6,3
"1119",3,3,3
"1120",3,1,3
"1121",3,8,4
"1122",3,NA,1
"1123",3,9,3
"1124",3,5,3
"1125",3,4,2
"1126",3,6,2
"1127",3,5,4
"1128",3,9,3
"1129",3,9,4
"1130",3,7,3
"1131",3,7,3
"1132",3,5,3
"1133",3,9,2
"1134",3,5,3
"1135",3,7,3
"1136",3,2,2
"1137",3,9,3
"1138",3,9,3
"1139",3,7,3
"1140",3,5,2
"1141",3,4,3
"1142",3,NA,3
"1143",3,10,3
"1144",3,9,3
"1145",3,8,3
"1146",3,9,4
"1147",3,4,2
"1148",3,8,3
"1149",3,10,3
"1150",3,10,3
"1151",3,10,2
"1152",3,7,2
"1153",3,5,4
"1154",3,9,3
"1155",3,9,3
"1156",3,NA,3
"1157",3,9,3
"1158",3,8,3
"1159",3,8,3
"1160",3,5,3
"1161",3,3,2
"1162",3,4,2
"1163",3,4,2
"1164",3,6,3
"1165",3,3,2
"1166",3,3,3
"1167",3,10,NA
"1168",3,8,2
"1169",3,9,3
"1170",3,NA,3
"1171",3,NA,3
"1172",3,6,3
"1173",3,5,4
"1174",3,4,3
"1175",3,3,4
"1176",3,2,4
"1177",3,2,3
"1178",3,8,2
"1179",3,5,2
"1180",3,2,3
"1181",3,8,3
"1182",3,NA,2
"1183",3,3,3
"1184",3,2,1
"1185",3,8,3
"1186",3,5,2
"1187",3,10,3
"1188",3,2,3
"1189",3,9,3
"1190",3,4,2
"1191",3,6,3
"1192",3,9,3
"1193",3,10,3
"1194",3,10,2
"1195",3,10,3
"1196",3,7,2
"1197",3,9,2
"1198",3,9,3
"1199",3,9,2
"1200",3,6,3
"1201",3,9,4
"1202",3,9,2
"1203",3,2,2
"1204",3,NA,4
"1205",3,9,3
"1206",3,3,2
"1207",3,9,3
"1208",3,3,1
"1209",3,8,4
"1210",3,7,3
"1211",3,8,3
"1212",3,2,4
"1213",3,NA,NA
"1214",3,2,3
"1215",3,2,1
"1216",3,3,3
"1217",3,2,3
"1218",3,NA,2
"1219",3,NA,NA
"1220",3,3,3
"1221",3,2,3
"1222",3,NA,3
"1223",3,5,3
"1224",3,9,3
"1225",3,9,4
"1226",3,9,3
"1227",3,3,3
"1228",3,6,1
"1229",3,3,2
"1230",3,9,3
"1231",3,9,3
"1232",3,7,3
"1233",3,3,4
"1234",3,NA,4
"1235",3,7,3
"1236",3,NA,3
"1237",3,8,3
"1238",3,NA,4
"1239",3,4,3
"1240",3,10,2
"1241",3,10,3
"1242",3,10,4
"1243",3,10,4
"1244",3,10,3
"1245",3,9,3
"1246",3,NA,3
"1247",3,2,3
"1248",3,7,2
"1249",3,7,4
"1250",3,3,3
"1251",3,9,3
"1252",3,3,4
"1253",3,4,4
"1254",3,5,3
"1255",3,8,3
"1256",3,7,3
"1257",3,9,3
"1258",3,9,3
"1259",3,10,4
"1260",3,8,2
"1261",3,9,3
"1262",3,9,2
"1263",3,9,3
"1264",3,7,2
"1265",3,10,3
"1266",3,8,2
"1267",3,7,3
"1268",3,6,NA
"1269",3,8,4
"1270",3,9,3
"1271",3,6,2
"1272",3,8,4
"1273",3,7,3
"1274",3,7,3
"1275",3,9,3
"1276",3,2,1
"1277",3,4,4
"1278",3,7,1
"1279",3,3,3
"1280",3,1,2
"1281",3,9,2
"1282",3,5,3
"1283",3,8,1
"1284",3,7,3
"1285",3,8,3
"1286",3,10,3
"1287",3,10,3
"1288",3,10,3
"1289",3,10,3
"1290",3,10,2
"1291",3,6,3
"1292",3,8,3
"1293",3,9,4
"1294",3,5,2
"1295",3,7,2
"1296",3,4,3
"1297",3,10,4
"1298",3,10,3
"1299",3,10,2
"1300",3,10,2
"1301",3,10,2
"1302",3,10,3
"1303",3,NA,2
"1304",3,4,4
"1305",3,6,NA
"1306",3,10,3
"1307",3,9,3
"1308",3,7,2
"1309",3,8,3
"1310",3,NA,2
